Year,Age,Tm,Lg,Lev,Aff,,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO
1994,31,Birmingham,SOUL,AA,CHW,OF,119,,,,230,213,6,11,1,.952,,1.84,,,,,,,
All Levels (1 Season),All Levels (1 Season),All Levels (1 Season),,,,OF,119,,,,230,213,6,11,1,.952,,1.84,,,,,,,
