Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1994,31,7.1,Birmingham,SOUL,AA,CHW,127,497,436,46,88,17,1,3,51,30,18,51,114,.202,.289,.266,.556,116,4,4,3,3,0
All Levels (1 Season),All Levels (1 Season),All Levels (1 Season),All Levels (1 Season),,,,127,497,436,46,88,17,1,3,51,30,18,51,114,.202,.289,.266,.556,116,4,4,3,3,0
