Rk,Player,Debut,Age,Yrs,G▼,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPG,PTSPG,TRBPG,ASTPG
1,Terence Davis\daviste02,Oct 22 '19 TOR vs. NOP,22,1,72,1209,199,436,94,242,51,59,50,237,115,39,14,76,124,543,.456,.388,.864,16.8,7.5,3.3,1.6
2,Grant Williams\willigr01,Oct 23 '19 BOS @ PHI,21,1,69,1043,87,211,24,96,39,54,59,178,68,30,36,50,163,237,.412,.250,.722,15.1,3.4,2.6,1.0
3,Ja Morant\moranja01,Oct 23 '19 MEM @ MIA,20,1,67,2074,447,937,60,179,239,308,51,259,488,58,18,220,110,1193,.477,.335,.776,31.0,17.8,3.9,7.3
4,Kendrick Nunn\nunnke01,Oct 23 '19 MIA vs. MEM,24,1,67,1962,401,914,137,391,85,100,21,180,220,56,15,114,152,1024,.439,.350,.850,29.3,15.3,2.7,3.3
5,Matisse Thybulle\thybuma01,Oct 23 '19 PHI vs. BOS,22,1,65,1287,112,265,56,157,25,41,44,107,79,94,47,51,141,305,.423,.357,.610,19.8,4.7,1.6,1.2
6,Coby White\whiteco01,Oct 23 '19 CHI @ CHO,19,1,65,1674,312,792,133,376,102,129,28,230,175,49,6,109,117,859,.394,.354,.791,25.8,13.2,3.5,2.7
7,Jaxson Hayes\hayesja02,Oct 28 '19 NOP vs. GSW,19,1,64,1080,174,259,1,4,123,190,97,259,56,26,55,53,161,472,.672,.250,.647,16.9,7.4,4.0,0.9
8,Jarrett Culver\culveja01,Oct 23 '19 MIN @ BRK,20,1,63,1506,230,569,66,221,54,117,70,212,110,57,38,81,125,580,.404,.299,.462,23.9,9.2,3.4,1.7
9,De'Andre Hunter\huntede01,Oct 24 '19 ATL @ DET,22,1,63,2018,280,683,108,304,110,144,44,286,112,44,18,103,182,778,.410,.355,.764,32.0,12.3,4.5,1.8
10,Darius Bazley\bazleda01,Oct 23 '19 OKC @ UTA,19,1,61,1130,125,317,49,141,43,62,30,246,41,23,41,45,55,342,.394,.348,.694,18.5,5.6,4.0,0.7
11,Nicolò Melli\mellini01,Oct 22 '19 NOP @ TOR,29,1,60,1042,136,323,69,206,54,73,38,180,82,34,23,46,124,395,.421,.335,.740,17.4,6.6,3.0,1.4
12,Eric Paschall\pascher01,Oct 24 '19 GSW vs. LAC,23,1,60,1654,318,640,37,129,164,212,82,275,127,32,13,94,125,837,.497,.287,.774,27.6,14.0,4.6,2.1
13,Darius Garland\garlada01,Oct 23 '19 CLE @ ORL,20,1,59,1824,280,699,105,296,63,72,27,111,229,42,4,151,92,728,.401,.355,.875,30.9,12.3,1.9,3.9
14,Brandon Clarke\clarkbr01,Oct 23 '19 MEM @ MIA,23,1,58,1300,296,479,23,64,85,112,92,345,81,32,48,55,100,700,.618,.359,.759,22.4,12.1,5.9,1.4
15,Cam Reddish\reddica01,Oct 24 '19 ATL @ DET,20,1,58,1551,213,554,83,250,101,126,35,216,87,62,28,96,132,610,.384,.332,.802,26.7,10.5,3.7,1.5
16,P.J. Washington\washipj01,Oct 23 '19 CHO vs. CHI,21,1,58,1759,268,589,86,230,88,136,58,316,123,51,44,93,158,710,.455,.374,.647,30.3,12.2,5.4,2.1
17,Cameron Johnson\johnsca02,Oct 26 '19 PHO vs. LAC,23,1,57,1255,176,405,106,272,46,57,49,187,69,36,20,32,88,504,.435,.390,.807,22.0,8.8,3.3,1.2
18,Jordan Poole\poolejo01,Oct 24 '19 GSW vs. LAC,20,1,57,1274,167,502,74,265,95,119,9,118,134,35,10,74,94,503,.333,.279,.798,22.4,8.8,2.1,2.4
19,RJ Barrett\barrerj01,Oct 23 '19 NYK @ SAS,19,1,56,1704,292,727,63,197,156,254,50,279,143,55,17,124,122,803,.402,.320,.614,30.4,14.3,5.0,2.6
20,Bruno Fernando\fernabr01,Oct 24 '19 ATL @ DET,21,1,56,713,103,199,5,37,29,51,67,198,49,18,17,42,107,240,.518,.135,.569,12.7,4.3,3.5,0.9
21,Tyler Herro\herroty01,Oct 23 '19 MIA vs. MEM,20,1,55,1508,270,631,116,298,87,100,16,224,121,34,9,87,76,743,.428,.389,.870,27.4,13.5,4.1,2.2
22,Michael Porter\portemi01,Oct 31 '19 DEN @ NOP,21,1,55,903,195,383,62,147,60,72,66,259,46,27,25,49,100,512,.509,.422,.833,16.4,9.3,4.7,0.8
23,Goga Bitadze\bitadgo01,Oct 26 '19 IND @ CLE,20,1,54,471,70,150,8,42,24,33,25,106,23,10,37,28,65,172,.467,.190,.727,8.7,3.2,2.0,0.4
24,Kevin Porter\porteke02,Oct 23 '19 CLE @ ORL,19,1,50,1162,186,421,53,158,73,101,22,162,109,46,14,93,135,498,.442,.335,.723,23.2,10.0,3.2,2.2
25,Javonte Green\greenja02,Oct 25 '19 BOS vs. TOR,26,1,48,468,63,126,9,33,28,42,24,93,26,24,8,23,43,163,.500,.273,.667,9.8,3.4,1.9,0.5
26,Rui Hachimura\hachiru01,Oct 23 '19 WAS @ DAL,21,1,48,1444,254,545,25,87,116,140,78,294,87,37,8,53,105,649,.466,.287,.829,30.1,13.5,6.1,1.8
27,Nassir Little\littlna01,Oct 25 '19 POR @ SAC,19,1,48,573,65,151,14,59,28,44,31,108,22,13,14,15,72,172,.430,.237,.636,11.9,3.6,2.3,0.5
28,Cody Martin\martico01,Oct 25 '19 CHO vs. MIN,24,1,48,903,89,207,18,77,42,65,38,158,95,39,9,44,78,238,.430,.234,.646,18.8,5.0,3.3,2.0
29,Nickeil Alexander-Walker\alexani01,Oct 22 '19 NOP @ TOR,21,1,47,591,98,266,46,133,25,37,9,84,89,17,8,54,57,267,.368,.346,.676,12.6,5.7,1.8,1.9
30,Ky Bowman\bowmaky01,Oct 24 '19 GSW vs. LAC,22,1,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,.417,.308,.829,22.6,7.4,2.7,2.9
31,Marko Guduric\gudurma01,Oct 23 '19 MEM @ MIA,24,1,44,484,62,157,25,83,24,26,14,73,45,12,8,36,34,173,.395,.301,.923,11.0,3.9,1.7,1.0
32,Chris Silva\silvach01,Oct 23 '19 MIA vs. MEM,23,1,44,346,48,78,0,3,37,55,60,126,23,9,21,32,85,133,.615,.000,.673,7.9,3.0,2.9,0.5
33,Daniel Gafford\gaffoda01,Oct 26 '19 CHI vs. TOR,21,1,43,609,94,134,0,0,32,60,52,106,21,13,56,29,98,220,.701,,.533,14.2,5.1,2.5,0.5
34,Terance Mann\mannte01,Oct 24 '19 LAC @ GSW,23,1,41,362,37,79,7,20,18,27,10,55,53,11,5,18,46,99,.468,.350,.667,8.8,2.4,1.3,1.3
35,Matt Thomas\thomama02,Oct 26 '19 TOR @ CHI,25,1,41,440,73,150,47,99,9,12,9,61,22,10,1,16,38,202,.487,.475,.750,10.7,4.9,1.5,0.5
36,Sekou Doumbouya\doumbse01,Nov 23 '19 DET @ MIL,19,1,38,754,92,236,28,98,31,46,20,118,19,20,8,35,80,243,.390,.286,.674,19.8,6.4,3.1,0.5
37,Carsen Edwards\edwarca01,Oct 23 '19 BOS @ PHI,21,1,37,351,42,128,24,76,13,19,6,47,24,12,4,15,34,121,.328,.316,.684,9.5,3.3,1.3,0.6
38,Luguentz Dort\dortlu01,Dec 6 '19 OKC vs. MIN,20,1,36,820,86,218,30,101,42,53,24,81,27,31,4,22,97,244,.394,.297,.792,22.8,6.8,2.3,0.8
39,Justin James\jamesju01,Oct 25 '19 SAC vs. POR,23,1,36,232,35,84,9,29,10,21,6,32,18,6,9,8,17,89,.417,.310,.476,6.4,2.5,0.9,0.5
40,Chris Clemons\clemoch01,Nov 3 '19 HOU @ MIA,22,1,33,291,57,142,37,107,10,11,4,30,27,9,6,19,26,161,.401,.346,.909,8.8,4.9,0.9,0.8
41,Admiral Schofield\schofad01,Oct 23 '19 WAS @ DAL,22,1,33,368,35,92,19,61,10,15,7,47,15,8,4,7,50,99,.380,.311,.667,11.2,3.0,1.4,0.5
42,Romeo Langford\langfro01,Oct 30 '19 BOS vs. MIL,20,1,32,370,28,80,5,27,18,25,15,41,13,8,8,11,33,79,.350,.185,.720,11.6,2.5,1.3,0.4
43,Ty Jerome\jeromty01,Dec 2 '19 PHO @ CHO,22,1,31,328,38,113,14,50,12,16,7,46,44,15,3,18,29,102,.336,.280,.750,10.6,3.3,1.5,1.4
44,Kelan Martin\martike03,Oct 25 '19 MIN @ CHO,24,1,31,495,71,181,25,96,30,31,12,96,23,7,9,20,51,197,.392,.260,.968,16.0,6.4,3.1,0.7
45,Wenyen Gabriel\gabriwe01,Oct 23 '19 SAC @ PHO,22,1,30,235,21,48,6,20,15,22,21,52,8,11,7,16,39,63,.438,.300,.682,7.8,2.1,1.7,0.3
46,Jordan McLaughlin\mclaujo01,Nov 6 '19 MIN @ MEM,23,1,30,590,87,178,29,76,26,39,7,49,125,34,4,31,31,229,.489,.382,.667,19.7,7.6,1.6,4.2
47,Naz Reid\reidna01,Dec 8 '19 MIN @ LAL,20,1,30,495,100,243,32,97,37,53,34,124,35,19,22,22,83,269,.412,.330,.698,16.5,9.0,4.1,1.2
48,Anžejs Pasečņiks\pasecan01,Dec 18 '19 WAS vs. CHI,24,1,27,437,61,116,0,3,34,58,42,107,18,9,12,24,75,156,.526,.000,.586,16.2,5.8,4.0,0.7
49,Norvel Pelle\pelleno01,Nov 29 '19 PHI @ NYK,26,1,24,232,25,48,0,1,7,14,20,72,8,3,31,18,55,57,.521,.000,.500,9.7,2.4,3.0,0.3
50,Zion Williamson\willizi01,Jan 22 '20 NOP vs. SAS,19,1,24,668,210,360,6,14,114,178,64,150,50,16,9,59,42,540,.583,.429,.640,27.8,22.5,6.3,2.1
51,Vincent Poirier\poirivi01,Oct 26 '19 BOS @ NYK,26,1,22,130,17,36,1,2,6,7,13,43,8,2,9,8,25,41,.472,.500,.857,5.9,1.9,2.0,0.4
52,Juwan Morgan\morgaju01,Nov 27 '19 UTA @ IND,22,1,21,134,15,26,3,8,3,4,10,29,6,1,2,6,19,36,.577,.375,.750,6.4,1.7,1.4,0.3
53,Rayjon Tucker\tuckera01,Dec 30 '19 UTA vs. DET,22,1,20,161,20,43,3,17,19,23,3,20,5,1,1,8,10,62,.465,.176,.826,8.1,3.1,1.0,0.3
