Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
29,Jarrett Allen\allenja01,C,21,BRK,70,1852,20.7,.664,.013,.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,.212,,1.4,1.0,2.3,2.0
30,Devin Booker\bookede01,SG,23,PHO,70,2512,20.6,.618,.310,.397,1.3,12.0,6.6,30.0,0.9,0.6,14.9,30.0,,6.0,1.5,7.5,.143,,3.4,-1.3,2.2,2.6
31,Robert Covington\covinro01,PF-C,29,TOT,70,2137,13.3,.559,.664,.172,3.0,20.2,11.4,5.9,2.5,3.7,11.7,17.0,,0.7,3.0,3.7,.083,,-1.2,1.3,0.0,1.1
32,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,70,2428,17.7,.568,.247,.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,,3.1,3.0,6.1,.121,,1.3,0.4,1.7,2.2
33,CJ McCollum\mccolcj01,SG,28,POR,70,2556,17.0,.541,.378,.136,1.9,10.2,6.1,19.1,1.0,1.4,8.1,25.9,,3.5,0.6,4.1,.077,,2.3,-1.8,0.5,1.6
34,Chris Paul\paulch01,PG,34,OKC,70,2208,21.7,.610,.343,.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,,5.9,3.0,8.9,.193,,3.0,1.4,4.4,3.5
35,Anfernee Simons\simonan01,SG,20,POR,70,1449,9.0,.502,.422,.172,1.8,9.1,5.5,9.2,0.9,0.6,9.6,18.7,,0.0,0.1,0.2,.005,,-2.6,-1.9,-4.5,-0.9
36,Jonas Valančiūnas\valanjo01,C,27,MEM,70,1845,22.2,.631,.123,.271,12.4,32.2,22.5,10.9,0.8,3.6,13.3,21.5,,4.2,2.8,7.0,.182,,2.1,0.2,2.4,2.0
37,OG Anunoby\anunoog01,SF,22,TOR,69,2066,13.2,.600,.403,.180,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,,2.1,3.7,5.7,.134,,-0.8,1.9,1.2,1.7
38,Troy Brown Jr.\browntr01,SF,20,WAS,69,1782,13.7,.524,.288,.223,4.5,19.6,11.7,14.1,2.2,0.3,10.4,17.8,,1.3,1.2,2.4,.065,,-0.8,-0.4,-1.3,0.3
39,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,69,1762,11.0,.584,.471,.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,,1.9,1.9,3.7,.102,,-1.2,0.4,-0.8,0.5
40,James Ennis\ennisja01,SF-SG,29,TOT,69,1265,11.5,.565,.471,.273,6.1,15.3,10.6,7.0,1.3,1.5,12.6,15.7,,1.0,1.4,2.4,.090,,-2.2,-0.4,-2.6,-0.2
41,Joe Harris\harrijo01,SF,28,BRK,69,2123,13.3,.606,.518,.114,3.2,11.2,7.3,10.4,0.9,0.7,11.2,18.3,,2.5,1.8,4.3,.097,,0.4,-0.6,-0.2,1.0
42,Dwight Howard\howardw01,C,34,LAL,69,1306,18.7,.696,.018,.773,14.6,27.8,21.2,4.8,1.1,5.4,18.5,14.7,,2.8,2.6,5.4,.197,,-1.0,1.2,0.2,0.7
43,Doug McDermott\mcderdo01,PF,28,IND,69,1372,14.4,.620,.537,.106,2.1,11.7,7.0,8.4,0.4,0.3,6.8,19.6,,2.3,1.1,3.3,.117,,1.4,-1.3,0.0,0.7
44,Donovan Mitchell\mitchdo01,SG,23,UTA,69,2364,18.8,.558,.352,.240,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,,3.2,2.2,5.4,.110,,2.4,-0.6,1.9,2.3
45,Semi Ojeleye\ojelese01,PF,25,BOS,69,1011,7.7,.562,.648,.163,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,,0.8,1.0,1.9,.088,,-2.1,0.4,-1.7,0.1
