Rk,Player,Debut,Age,Yrs,G▼,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPG,PTSPG,TRBPG,ASTPG
1,Dillon Brooks\brookdi01,Oct 18 '17 MEM vs. NOP,22,1,82,2350,340,772,94,264,124,166,49,257,135,73,17,124,233,898,.440,.356,.747,28.7,11.0,3.1,1.6
2,Ben Simmons\simmobe01,Oct 18 '17 PHI @ WAS,21,1,81,2732,544,998,0,11,191,341,145,659,661,140,70,278,211,1279,.545,.000,.560,33.7,15.8,8.1,8.2
3,Jayson Tatum\tatumja01,Oct 17 '17 BOS @ CLE,19,1,80,2443,397,835,105,242,213,258,50,402,128,83,58,114,170,1112,.475,.434,.826,30.5,13.9,5.0,1.6
4,Donovan Mitchell\mitchdo01,Oct 18 '17 UTA vs. DEN,21,1,79,2638,595,1362,187,550,239,297,52,296,291,118,27,215,213,1616,.437,.340,.805,33.4,20.5,3.7,3.7
5,Bogdan Bogdanović\bogdabo01,Oct 23 '17 SAC @ PHO,25,1,78,2175,344,772,129,329,100,119,31,223,258,72,16,125,172,917,.446,.392,.840,27.9,11.8,2.9,3.3
6,Frank Ntilikina\ntilila01,Oct 19 '17 NYK @ OKC,19,1,78,1706,182,500,50,157,49,68,37,177,250,65,18,131,181,463,.364,.318,.721,21.9,5.9,2.3,3.2
7,Josh Jackson\jacksjo02,Oct 18 '17 PHO vs. POR,20,1,77,1959,389,932,57,217,177,279,95,351,119,80,35,146,218,1012,.417,.263,.634,25.4,13.1,4.6,1.5
8,Kyle Kuzma\kuzmaky01,Oct 19 '17 LAL vs. LAC,22,1,77,2401,468,1039,159,434,147,208,88,483,141,49,34,140,160,1242,.450,.366,.707,31.2,16.1,6.3,1.8
9,OG Anunoby\anunoog01,Oct 19 '17 TOR vs. CHI,20,1,74,1481,163,346,73,197,39,62,44,184,55,52,14,45,130,438,.471,.371,.629,20.0,5.9,2.5,0.7
10,John Collins\collijo01,Oct 18 '17 ATL @ DAL,20,1,74,1785,314,545,16,47,133,186,176,541,98,47,80,105,215,777,.576,.340,.715,24.1,10.5,7.3,1.3
11,De'Aaron Fox\foxde01,Oct 18 '17 SAC vs. HOU,20,1,73,2026,328,797,47,153,141,195,33,204,320,70,20,173,163,844,.412,.307,.723,27.8,11.6,2.8,4.4
12,Luke Kennard\kennalu01,Oct 20 '17 DET @ WAS,21,1,73,1463,206,465,81,195,65,76,21,176,124,44,13,69,86,558,.443,.415,.855,20.0,7.6,2.4,1.7
13,Semi Ojeleye\ojelese01,Oct 17 '17 BOS @ CLE,23,1,73,1150,65,188,40,125,25,41,37,161,20,21,4,25,91,195,.346,.320,.610,15.8,2.7,2.2,0.3
14,Sindarius Thornwell\thornsi01,Oct 19 '17 LAC @ LAL,23,1,73,1156,100,233,23,61,59,88,33,140,68,48,25,53,125,282,.429,.377,.670,15.8,3.9,1.9,0.9
15,Jarrett Allen\allenja01,Oct 20 '17 BRK vs. ORL,19,1,72,1441,234,397,5,15,114,147,144,388,49,28,88,82,147,587,.589,.333,.776,20.0,8.2,5.4,0.7
16,Maxi Kleber\klebima01,Oct 21 '17 DAL @ HOU,26,1,72,1206,151,309,40,128,44,59,71,234,51,26,47,30,114,386,.489,.313,.746,16.8,5.4,3.3,0.7
17,Bam Adebayo\adebaba01,Oct 18 '17 MIA @ ORL,20,1,69,1368,174,340,0,7,129,179,118,381,101,32,41,66,138,477,.512,.000,.721,19.8,6.9,5.5,1.5
18,Royce O'Neale\onealro01,Oct 21 '17 UTA vs. OKC,24,1,69,1150,120,284,42,118,61,76,25,236,95,36,16,55,105,343,.423,.356,.803,16.7,5.0,3.4,1.4
19,Dennis Smith\smithde03,Oct 18 '17 DAL vs. ATL,20,1,69,2049,404,1024,106,339,134,193,50,260,358,71,18,194,152,1048,.395,.313,.694,29.7,15.2,3.8,5.2
20,Justin Jackson\jacksju01,Oct 18 '17 SAC vs. HOU,22,1,68,1506,185,419,57,185,26,36,27,187,74,28,13,40,81,453,.442,.308,.722,22.1,6.7,2.8,1.1
21,Lauri Markkanen\markkla01,Oct 19 '17 CHI @ TOR,20,1,68,2020,374,862,145,401,140,166,79,508,79,39,40,83,103,1033,.434,.362,.843,29.7,15.2,7.5,1.2
22,Zach Collins\colliza01,Oct 20 '17 POR @ IND,20,1,66,1045,115,289,35,113,27,42,45,221,52,17,31,58,133,292,.398,.310,.643,15.8,4.4,3.3,0.8
23,Brandon Paul\paulbr01,Oct 18 '17 SAS vs. MIN,26,1,64,576,55,127,15,54,22,43,6,68,37,25,7,29,58,147,.433,.278,.512,9.0,2.3,1.1,0.6
